:START_ID(Transaction),:END_ID(Company),:TYPE
20181,CCF,FOR_COMPANY
20182,CCF,FOR_COMPANY
20183,CRK,FOR_COMPANY
20184,WGO,FOR_COMPANY
20185,OLLI,FOR_COMPANY
20186,OLLI,FOR_COMPANY
20187,GOOG,FOR_COMPANY
20188,GOOG,FOR_COMPANY
20189,GOOG,FOR_COMPANY
20190,GOOG,FOR_COMPANY
20191,GOOG,FOR_COMPANY
20192,GOOG,FOR_COMPANY
20193,SEIC,FOR_COMPANY
20194,ENR,FOR_COMPANY
20195,ENR,FOR_COMPANY
20196,PBCT,FOR_COMPANY
20197,PBCT,FOR_COMPANY
20198,ENR,FOR_COMPANY
20199,ENR,FOR_COMPANY
20200,(BHL),FOR_COMPANY
20201,(BHL),FOR_COMPANY
20202,ESSA,FOR_COMPANY
20203,SIVB,FOR_COMPANY
20204,NCR,FOR_COMPANY
20205,ABCO,FOR_COMPANY
20206,CEEH,FOR_COMPANY
20207,CRE,FOR_COMPANY
20208,CRE,FOR_COMPANY
20209,CRE,FOR_COMPANY
20210,CRE,FOR_COMPANY
20211,MYSK,FOR_COMPANY
20212,MYSK,FOR_COMPANY
20213,BANR,FOR_COMPANY
20214,TRMB,FOR_COMPANY
20215,BHI,FOR_COMPANY
20216,USPH,FOR_COMPANY
20217,JCOM,FOR_COMPANY
20218,HSKA,FOR_COMPANY
20219,HSKA,FOR_COMPANY
20220,HSKA,FOR_COMPANY
20221,BGG,FOR_COMPANY
20222,BGG,FOR_COMPANY
20223,EXH,FOR_COMPANY
20224,EXH,FOR_COMPANY
20225,OTTW,FOR_COMPANY
20226,OTTW,FOR_COMPANY
20227,BANR,FOR_COMPANY
20228,SIVB,FOR_COMPANY
20229,SIVB,FOR_COMPANY
20230,CHD,FOR_COMPANY
20231,ORCL,FOR_COMPANY
20232,ORCL,FOR_COMPANY
20233,CIK,FOR_COMPANY
20234,ISIS,FOR_COMPANY
20235,FSD,FOR_COMPANY
20236,MOGA/MOGB,FOR_COMPANY
20237,MSM,FOR_COMPANY
20238,PLAY,FOR_COMPANY
20239,RLI,FOR_COMPANY
20240,PCTI,FOR_COMPANY
20241,LEG,FOR_COMPANY
20242,ARW,FOR_COMPANY
20243,BANR,FOR_COMPANY
20244,SFE,FOR_COMPANY
20245,SFE,FOR_COMPANY
20246,LBA,FOR_COMPANY
20247,PFBI,FOR_COMPANY
20248,ARW,FOR_COMPANY
20249,PFIS,FOR_COMPANY
20250,TWP,FOR_COMPANY
20251,TWP,FOR_COMPANY
20252,TWP,FOR_COMPANY
20253,TWP,FOR_COMPANY
20254,STMP,FOR_COMPANY
20255,DKL,FOR_COMPANY
20256,PBCT,FOR_COMPANY
20257,PBCT,FOR_COMPANY
20258,DKL,FOR_COMPANY
20259,CGIH,FOR_COMPANY
20260,CGIH,FOR_COMPANY
20261,FRME,FOR_COMPANY
20262,PRSS,FOR_COMPANY
20263,CFI,FOR_COMPANY
20264,H,FOR_COMPANY
20265,DWCH,FOR_COMPANY
20266,DWCH,FOR_COMPANY
20267,DWCH,FOR_COMPANY
20268,DWCH,FOR_COMPANY
20269,DWCH,FOR_COMPANY
20270,DWCH,FOR_COMPANY
20271,DWCH,FOR_COMPANY
20272,DWCH,FOR_COMPANY
20273,DWCH,FOR_COMPANY
20274,DWCH,FOR_COMPANY
20275,DWCH,FOR_COMPANY
20276,DWCH,FOR_COMPANY
20277,DWCH,FOR_COMPANY
20278,DWCH,FOR_COMPANY
20279,DWCH,FOR_COMPANY
20280,TMP,FOR_COMPANY
20281,TMP,FOR_COMPANY
20282,TMP,FOR_COMPANY
20283,WSTL,FOR_COMPANY
20284,OLN,FOR_COMPANY
20285,NWFL,FOR_COMPANY
20286,SPH,FOR_COMPANY
20287,SPH,FOR_COMPANY
20288,CPHC,FOR_COMPANY
20289,MBFI,FOR_COMPANY
20290,SNCR,FOR_COMPANY
20291,STI,FOR_COMPANY
20292,STI,FOR_COMPANY
20293,STI,FOR_COMPANY
20294,STI,FOR_COMPANY
20295,LNC,FOR_COMPANY
20296,LNC,FOR_COMPANY
20297,ANDE,FOR_COMPANY
20298,ASBC,FOR_COMPANY
20299,ASBC,FOR_COMPANY
20300,ASBC,FOR_COMPANY
20301,ASBC,FOR_COMPANY
20302,ASBC,FOR_COMPANY
20303,ASBC,FOR_COMPANY
20304,CPTA,FOR_COMPANY
20305,ASBC,FOR_COMPANY
20306,ASBC,FOR_COMPANY
20307,ASBC,FOR_COMPANY
20308,ASBC,FOR_COMPANY
20309,ASBC,FOR_COMPANY
20310,ASBC,FOR_COMPANY
20311,ASBC,FOR_COMPANY
20312,ASBC,FOR_COMPANY
20313,ASBC,FOR_COMPANY
20314,ASBC,FOR_COMPANY
20315,ASBC,FOR_COMPANY
20316,ASBC,FOR_COMPANY
20317,ASBC,FOR_COMPANY
20318,FFBC,FOR_COMPANY
20319,PCBK,FOR_COMPANY
20320,ASBC,FOR_COMPANY
20321,ASBC,FOR_COMPANY
20322,ASBC,FOR_COMPANY
20323,STBZ,FOR_COMPANY
20324,MNTR,FOR_COMPANY
20325,SCH,FOR_COMPANY
20326,SCH,FOR_COMPANY
20327,SCH,FOR_COMPANY
