transactionId:ID(Transaction),transactionType,transactionDate:date,acceptanceDateTime:datetime,reportingOwnerRelationship,transactionShare:double,pricePerShare:double,totalValue:double,sharesOwnedFollowingTransaction:double,:LABEL
440,Buy,2017-01-03,2017-01-05T20:35:24,,4701.0,13.72,64497.7,4701.0,Transaction
441,Buy,2017-01-03,2017-01-05T20:25:14, officer,10000.0,4.42,44200.0,83600.0,Transaction
442,Buy,2017-01-03,2017-01-05T20:25:14, officer,60000.0,5.96,357600.0,143600.0,Transaction
443,Sell,2017-01-05,2017-01-05T20:22:46, officer,1005.0,4.829,4853.15,6528.0,Transaction
444,Sell,2017-01-03,2017-01-05T20:19:40, director,29502.0,2.93,86440.9,684928.0,Transaction
445,Sell,2017-01-04,2017-01-05T20:18:45, officer,4704.0,38.925,183103.0,41521.0,Transaction
446,Sell,2017-01-04,2017-01-05T20:17:27, officer,4356.0,38.925,169557.0,48509.0,Transaction
447,Sell,2017-01-03,2017-01-05T20:16:08, director,1100.0,214.165,235582.0,168046.0,Transaction
448,Sell,2017-01-03,2017-01-05T20:16:08, director,1200.0,211.785,254142.0,166846.0,Transaction
449,Buy,2017-01-05,2017-01-05T20:14:50, director officer 10% owner,10000.0,39.0925,390925.0,34155500.0,Transaction
450,Buy,2017-01-05,2017-01-06T14:19:28, director,281.0,28.1744,7917.01,9071.0,Transaction
451,Buy,2017-01-05,2017-01-06T14:19:09, 10% owner,21791.0,12.1,263671.0,1633500.0,Transaction
452,Buy,2017-01-04,2017-01-06T14:14:36, 10% owner,10700.0,14.87,159109.0,2605210.0,Transaction
453,Buy,2017-01-05,2017-01-06T14:06:57, 10% owner,13794.0,5.91,81522.5,5073300.0,Transaction
454,Sell,2017-01-06,2017-01-06T14:04:37, director officer 10% owner,6000.0,27.6819,166091.0,750133.0,Transaction
455,Sell,2017-01-03,2017-01-06T13:55:31, director officer,101180.0,0.0678,6860.0,14436500.0,Transaction
456,Sell,2017-01-04,2017-01-06T13:53:23, officer,2854.0,4.8221,13762.3,374863.0,Transaction
457,Buy,2017-01-03,2017-01-06T13:52:44,,16901.0,6.89,116448.0,27324.0,Transaction
458,Sell,2017-01-03,2017-01-06T13:52:44,,32294.0,6.89,222506.0,81792.0,Transaction
459,Sell,2017-01-03,2017-01-06T13:52:44,,5519.0,6.89,38025.9,21805.0,Transaction
460,Sell,2017-01-04,2017-01-06T13:49:18, officer,5815.0,47.002,273317.0,332422.0,Transaction
461,Sell,2017-01-03,2017-01-06T13:42:49, officer,12491.0,6.89,86063.0,86810.0,Transaction
462,Sell,2017-01-06,2017-01-06T13:34:42,,375.0,56.55,21206.2,17175.0,Transaction
463,Buy,2017-01-05,2017-01-06T13:23:29,,333.0,49.67,16540.1,333.0,Transaction
464,Sell,2017-01-05,2017-01-06T13:23:29,,133.0,134.85,17935.1,0.0,Transaction
465,Sell,2017-01-05,2017-01-06T13:20:22, officer,1345.0,23.11,31082.9,15832.0,Transaction
466,Sell,2017-01-04,2017-01-06T13:18:11, officer,2854.0,4.8221,13762.3,374863.0,Transaction
467,Sell,2017-01-05,2017-01-06T13:17:05, officer,2140.0,23.11,49455.4,49212.0,Transaction
468,Sell,2017-01-05,2017-01-06T13:12:43, officer,2445.0,23.11,56503.9,77986.0,Transaction
469,Sell,2017-01-05,2017-01-06T13:07:26, officer,32819.0,23.11,758447.0,2656770.0,Transaction
470,Sell,2017-01-06,2017-01-06T12:57:39, officer,2257.0,11.68,26361.8,60601.0,Transaction
471,Sell,2017-01-04,2017-01-06T12:48:20, director,1253.0,28.64,35885.9,84838.0,Transaction
472,Buy,2017-01-04,2017-01-06T12:46:20, director,7000.0,17.94,125580.0,55793.0,Transaction
473,Sell,2016-12-30,2017-01-06T12:19:48, officer,141.0,32.7,4610.7,3872.0,Transaction
474,Buy,2017-01-05,2017-01-06T12:08:47,,50600.0,0.075,3795.0,1454280.0,Transaction
475,Sell,2017-01-05,2017-01-06T12:08:00, director,1206.0,12.006,14479.2,30056.0,Transaction
476,Sell,2017-01-05,2017-01-06T12:08:00, director,81587.0,12.006,979534.0,2033530.0,Transaction
477,Buy,2017-01-05,2017-01-06T12:07:18, director,44000.0,0.075,3300.0,5459430.0,Transaction
478,Buy,2017-01-05,2017-01-06T12:04:07, officer,44000.0,0.075,3300.0,4161020.0,Transaction
479,Buy,2017-01-04,2017-01-06T12:03:13, officer,42.0,73.28,3055.09,3025.0,Transaction
480,Buy,2017-01-05,2017-01-06T12:01:58,,50600.0,0.075,3795.0,3637050.0,Transaction
481,Sell,2017-01-04,2017-01-06T11:55:29,,1635.0,26.62,43523.7,3052.0,Transaction
482,Sell,2017-01-04,2017-01-06T11:53:32,,1832.0,26.62,48767.8,2855.0,Transaction
483,Buy,2017-01-04,2017-01-06T11:51:54,,4687.0,26.62,124768.0,4687.0,Transaction
484,Buy,2017-01-04,2017-01-06T11:37:03, director,38.0,53.83,2052.25,9264.0,Transaction
485,Buy,2017-01-04,2017-01-06T11:31:46, other,37.0,53.83,2003.41,9022.0,Transaction
486,Buy,2017-01-04,2017-01-06T11:30:48,,1755.0,26.62,46718.1,1755.0,Transaction
487,Sell,2017-01-04,2017-01-06T11:29:00,,382.0,26.62,10168.8,1373.0,Transaction
488,Buy,2017-01-04,2017-01-06T11:27:34, director,841.0,53.83,45255.0,215568.0,Transaction
489,Sell,2017-01-04,2017-01-06T11:26:52,,439.0,26.62,11686.2,3639.0,Transaction
490,Sell,2017-01-04,2017-01-06T11:24:49,,694.0,26.62,18474.3,3993.0,Transaction
491,Sell,2017-01-04,2017-01-06T11:22:55,,675.0,26.62,17968.5,4012.0,Transaction
