:START_ID(Transaction),:END_ID(Company),:TYPE
191,RSPP,FOR_COMPANY
192,TLYS,FOR_COMPANY
193,PLNT,FOR_COMPANY
194,HCCI,FOR_COMPANY
195,HCCI,FOR_COMPANY
196,HCCI,FOR_COMPANY
197,KRC,FOR_COMPANY
198,KRC,FOR_COMPANY
199,KRC,FOR_COMPANY
200,CAVM,FOR_COMPANY
201,MNK,FOR_COMPANY
202,MNK,FOR_COMPANY
203,MNK,FOR_COMPANY
204,SUM,FOR_COMPANY
205,JLLM,FOR_COMPANY
206,ACN,FOR_COMPANY
207,ACN,FOR_COMPANY
208,ACN,FOR_COMPANY
209,ACN,FOR_COMPANY
210,ACN,FOR_COMPANY
211,ACN,FOR_COMPANY
212,ACN,FOR_COMPANY
213,ACN,FOR_COMPANY
214,ACN,FOR_COMPANY
215,ACN,FOR_COMPANY
216,DTLK,FOR_COMPANY
217,DTLK,FOR_COMPANY
218,DTLK,FOR_COMPANY
219,DTLK,FOR_COMPANY
220,DTLK,FOR_COMPANY
221,DTLK,FOR_COMPANY
222,DTLK,FOR_COMPANY
223,DTLK,FOR_COMPANY
224,ZAYO,FOR_COMPANY
225,DTLK,FOR_COMPANY
226,DTLK,FOR_COMPANY
227,DTLK,FOR_COMPANY
228,DTLK,FOR_COMPANY
229,JLLM,FOR_COMPANY
230,NU,FOR_COMPANY
231,NU,FOR_COMPANY
232,NSL,FOR_COMPANY
233,GSTL,FOR_COMPANY
234,PFNX,FOR_COMPANY
235,PFNX,FOR_COMPANY
236,PNR,FOR_COMPANY
237,[NONE],FOR_COMPANY
238,(CPT),FOR_COMPANY
239,PNR,FOR_COMPANY
240,TYBR,FOR_COMPANY
241,(CPT),FOR_COMPANY
242,(CPT),FOR_COMPANY
243,LUCE,FOR_COMPANY
244,CEMP,FOR_COMPANY
245,COUP,FOR_COMPANY
246,KBLH,FOR_COMPANY
247,TYBR,FOR_COMPANY
248,MRLN,FOR_COMPANY
249,IRMD,FOR_COMPANY
250,MDSO,FOR_COMPANY
251,NERV,FOR_COMPANY
252,NERV,FOR_COMPANY
253,NAN,FOR_COMPANY
254,AXTA,FOR_COMPANY
255,ALNY,FOR_COMPANY
256,CNBKA,FOR_COMPANY
257,CHFC,FOR_COMPANY
258,CHFC,FOR_COMPANY
259,CHFC,FOR_COMPANY
260,CHFC,FOR_COMPANY
261,CHFC,FOR_COMPANY
262,NFBK,FOR_COMPANY
263,NFBK,FOR_COMPANY
264,NFBK,FOR_COMPANY
265,NFBK,FOR_COMPANY
266,NFBK,FOR_COMPANY
267,NFBK,FOR_COMPANY
268,NFBK,FOR_COMPANY
269,NFBK,FOR_COMPANY
270,NFBK,FOR_COMPANY
271,COL,FOR_COMPANY
272,COL,FOR_COMPANY
273,CSWC,FOR_COMPANY
274,CSWC,FOR_COMPANY
275,ANDE,FOR_COMPANY
276,ANDE,FOR_COMPANY
277,CCF,FOR_COMPANY
278,[RMPLX],FOR_COMPANY
279,ANDE,FOR_COMPANY
280,ANDE,FOR_COMPANY
281,ANDE,FOR_COMPANY
282,ANDE,FOR_COMPANY
283,YPNT,FOR_COMPANY
284,YPNT,FOR_COMPANY
285,YPNT,FOR_COMPANY
286,YPNT,FOR_COMPANY
287,YPNT,FOR_COMPANY
288,GNCI,FOR_COMPANY
289,BKH,FOR_COMPANY
290,FFBC,FOR_COMPANY
291,WFD,FOR_COMPANY
292,KEQU,FOR_COMPANY
293,WFD,FOR_COMPANY
294,WFD,FOR_COMPANY
295,FFBC,FOR_COMPANY
296,MDT,FOR_COMPANY
297,RESN,FOR_COMPANY
298,FFBC,FOR_COMPANY
299,SPKE,FOR_COMPANY
300,SPKE,FOR_COMPANY
301,GLV,FOR_COMPANY
302,AVK,FOR_COMPANY
303,AGC,FOR_COMPANY
304,VRTU,FOR_COMPANY
305,FFBC,FOR_COMPANY
306,GFON.OB,FOR_COMPANY
307,RESN,FOR_COMPANY
308,XRX,FOR_COMPANY
309,XRX,FOR_COMPANY
310,PHC,FOR_COMPANY
311,XRX,FOR_COMPANY
312,NTGR,FOR_COMPANY
313,IDT/IDT.C,FOR_COMPANY
314,UNF,FOR_COMPANY
315,COG,FOR_COMPANY
316,BMRA.OB,FOR_COMPANY
317,RESN,FOR_COMPANY
318,COG,FOR_COMPANY
319,COG,FOR_COMPANY
320,BMRA.OB,FOR_COMPANY
321,PFS,FOR_COMPANY
322,PFS,FOR_COMPANY
323,GPK,FOR_COMPANY
324,WGO,FOR_COMPANY
325,PSTG,FOR_COMPANY
326,PSTG,FOR_COMPANY
327,PSTG,FOR_COMPANY
328,GLYE,FOR_COMPANY
329,SCG,FOR_COMPANY
330,IMGG,FOR_COMPANY
331,YUMC,FOR_COMPANY
332,YUMC,FOR_COMPANY
